time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007876,0.1109,-0.0242,0.5846,0.596
0.009053,0.1303,0.0133,0.4327,0.452
0.009711,0.1811,0.0430,0.1943,0.269
0.010308,0.1940,0.0561,-0.0681,0.213
0.011062,0.1488,0.0320,-0.2663,0.307
0.014396,0.0829,0.0215,-0.3831,0.393
0.036292,0.0328,0.0245,-0.3372,0.340
0.037730,-0.0233,0.0333,-0.2098,0.214
0.038359,-0.0940,0.0419,-0.0176,0.104
0.047313,-0.1591,0.0586,0.1489,0.226
0.057481,-0.1809,0.0519,0.2645,0.325
0.061158,-0.1372,0.0099,0.3206,0.349
0.081064,-0.0624,-0.0099,0.3003,0.307
0.081959,-0.0187,-0.0165,0.2467,0.248
0.090156,-0.0286,-0.0116,0.2027,0.205
0.093654,-0.0682,0.0079,0.1608,0.175
0.103004,-0.0921,0.0304,0.1739,0.199
0.109331,-0.0590,0.0371,0.2107,0.222
0.119109,-0.0335,0.0300,0.2689,0.273
0.130856,-0.0074,0.0110,0.2937,0.294
0.133228,0.0045,0.0252,0.2299,0.231
0.141674,-0.0430,0.0443,0.2141,0.223
0.149360,-0.1047,0.0849,0.2008,0.242
0.162349,-0.1353,0.0991,0.1682,0.238
0.164824,-0.1251,0.0916,0.1358,0.206
0.175608,-0.1094,0.0792,0.1656,0.214
0.181189,-0.0523,0.0382,0.1860,0.197
0.189067,-0.0034,0.0185,0.2233,0.224
0.197272,-0.0151,0.0031,0.2704,0.271
0.216068,-0.0062,0.0036,0.2795,0.280
0.218730,-0.0110,0.0127,0.2121,0.213
0.221295,0.0276,0.0141,0.1593,0.162
0.249929,-0.0011,0.0180,0.1663,0.167
0.252670,-0.0285,0.0124,0.1755,0.178
0.255023,-0.0280,0.0165,0.1942,0.197
0.259021,0.0031,0.0207,0.2153,0.216
0.260906,0.0294,0.0128,0.2052,0.208
0.277411,0.0440,0.0072,0.1760,0.182
0.279264,0.0184,0.0039,0.1684,0.169
0.286933,-0.0162,0.0148,0.2160,0.217
0.299094,-0.0369,0.0278,0.2061,0.211
0.300908,-0.0289,0.0214,0.1771,0.181
0.310130,-0.0209,0.0343,0.1577,0.163
0.316737,0.0156,0.0282,0.1334,0.137
0.340695,0.0113,0.0225,0.0971,0.100
0.342809,-0.0076,0.0149,0.1038,0.105
0.345012,-0.0313,0.0152,0.1534,0.157
0.367982,-0.0481,0.0156,0.1743,0.182
0.370291,-0.0340,0.0115,0.2287,0.231
0.372124,-0.0151,0.0285,0.2640,0.266
0.373977,-0.0155,0.0403,0.2394,0.243
0.380064,0.0010,0.0466,0.1743,0.180
0.388944,-0.0088,0.0432,0.1116,0.120
0.396268,-0.0400,0.0489,0.1328,0.147
0.406625,-0.0430,0.0402,0.1036,0.119
0.412141,-0.0062,0.0534,0.0743,0.092
0.428723,0.0110,0.0457,0.0736,0.087
0.431272,0.0012,0.0462,0.0703,0.084
0.436112,-0.0062,0.0523,0.0741,0.091
0.453633,-0.0560,0.0425,0.0970,0.120
0.455676,-0.0622,0.0452,0.1582,0.176
0.459919,-0.0633,0.0458,0.2193,0.233
0.468014,-0.0212,0.0512,0.2255,0.232
0.476802,0.0282,0.0444,0.2316,0.238
0.483604,0.0534,0.0447,0.2282,0.239
0.491493,0.0380,0.0303,0.2799,0.284
0.499497,0.0514,0.0110,0.2909,0.296
0.510366,0.0295,-0.0115,0.3141,0.316
0.515287,-0.0226,-0.0247,0.2991,0.301
0.529327,-0.0424,-0.0318,0.2197,0.226
0.531523,-0.0476,-0.0153,0.0853,0.099
0.539793,-0.0668,0.0371,-0.0228,0.080
0.547284,-0.0859,0.0903,-0.0734,0.145
0.555417,-0.1241,0.1255,-0.1123,0.209
0.563138,-0.1025,0.1233,-0.0961,0.187
0.572284,-0.0427,0.1174,-0.0347,0.130
0.579198,-0.0264,0.1051,0.0218,0.111
0.587692,-0.0370,0.0815,0.0926,0.129
0.595250,-0.0578,0.0869,0.1297,0.166
0.603058,-0.0747,0.0925,0.1452,0.188
0.610899,-0.0426,0.0866,0.1773,0.202
0.619146,-0.0067,0.0431,0.2523,0.256
0.628625,0.0022,0.0047,0.3129,0.313
0.634963,-0.0104,-0.0454,0.4021,0.405
0.648799,-0.0226,-0.0911,0.4628,0.472
0.650651,0.0014,-0.1136,0.5139,0.526
0.658689,-0.0072,-0.1037,0.5079,0.518
0.666741,0.0117,-0.0762,0.4327,0.440
0.675004,0.0222,-0.0358,0.2980,0.301
0.682810,0.0126,-0.0087,0.1827,0.183
0.691268,-0.0125,0.0368,0.0891,0.097
0.698835,-0.0320,0.0435,-0.0019,0.054
0.712846,-0.0225,0.0551,-0.0426,0.073
0.715689,-0.0420,0.0196,-0.0404,0.061
0.740185,-0.0435,0.0402,-0.0288,0.066
0.742698,-0.0462,0.0357,0.0424,0.072
0.744041,-0.0220,0.0440,0.1086,0.119
0.747248,-0.0014,0.0455,0.1027,0.112
0.755264,-0.0080,0.0445,0.0873,0.098
0.762397,0.0044,0.0147,0.0838,0.085
0.774414,0.0364,-0.0151,0.1234,0.130
0.778304,0.0311,-0.0429,0.1680,0.176
0.787653,0.0242,-0.0520,0.2343,0.241
0.794354,0.0014,-0.0378,0.2695,0.272
0.802000,-0.0448,-0.0171,0.3145,0.318
0.816106,-0.0352,-0.0161,0.3213,0.324
0.819265,-0.0108,0.0034,0.3570,0.357
0.842004,-0.0059,0.0129,0.3328,0.333
0.845890,-0.0128,0.0245,0.2943,0.296
0.847631,-0.0385,0.0172,0.2941,0.297
0.851031,-0.0474,0.0268,0.2795,0.285
0.858430,-0.0518,0.0198,0.2912,0.296
0.866488,-0.0449,0.0225,0.3364,0.340
0.874217,-0.0287,0.0323,0.3097,0.313
0.882653,-0.0195,0.0177,0.2639,0.265
0.890493,-0.0074,0.0118,0.2351,0.235
0.899718,-0.0020,0.0100,0.2063,0.207
0.906072,0.0040,0.0294,0.1897,0.192
0.914005,-0.0042,0.0339,0.1276,0.132
0.922548,-0.0361,0.0259,0.1158,0.124
0.933322,-0.0227,0.0443,0.1160,0.126
0.963386,-0.0236,0.0223,0.1210,0.125
0.966236,-0.0181,0.0053,0.1043,0.106
0.967968,-0.0013,-0.0040,0.0804,0.080
0.970251,0.0035,-0.0175,0.0899,0.092
0.971704,0.0013,-0.0235,0.1185,0.121
0.977562,0.0110,-0.0267,0.1542,0.157
0.985380,0.0064,-0.0421,0.2379,0.242
0.993769,0.0186,-0.0457,0.2737,0.278
1.001443,0.0280,-0.0450,0.2784,0.283
1.017261,0.0160,-0.0350,0.2568,0.260
1.019711,-0.0175,-0.0180,0.2592,0.260
1.040219,-0.0316,-0.0249,0.2759,0.279
