time,gFx,gFy,gFz,0
18:23:48:567,0.8106,0.0638,0.5788,1.012
18:23:48:568,0.8104,0.0660,0.5690,1.006
18:23:48:569,0.8099,0.0689,0.5576,0.999
18:23:48:570,0.8111,0.0723,0.5453,0.994
18:23:48:571,0.8248,0.0708,0.5309,0.997
18:23:48:572,0.8277,0.0677,0.5248,0.995
18:23:48:573,0.8153,0.0699,0.5285,0.987
18:23:48:574,0.8035,0.0745,0.5358,0.982
18:23:48:575,0.7989,0.0760,0.5434,0.983
18:23:48:577,0.8011,0.0743,0.5497,0.988
18:23:48:578,0.8035,0.0711,0.5561,0.994
18:23:48:579,0.8045,0.0679,0.5637,0.998
18:23:48:582,0.8104,0.0599,0.5764,1.010
18:23:48:583,0.8546,0.0112,0.6174,1.065
18:23:48:585,0.8907,-0.0474,0.6599,1.118
18:23:48:587,0.8800,-0.0581,0.6712,1.117
18:23:48:593,0.8697,-0.0442,0.6731,1.110
18:23:48:594,0.8761,-0.0293,0.6734,1.115
18:23:48:594,0.8881,-0.0171,0.6646,1.119
18:23:48:595,0.8900,-0.0064,0.6546,1.115
18:23:48:597,0.8807,0.0024,0.6516,1.106
18:23:48:599,0.8651,0.0078,0.6538,1.096
18:23:48:601,0.8433,0.0110,0.6577,1.081
18:23:48:603,0.8192,0.0159,0.6587,1.063
18:23:48:607,0.7957,0.0217,0.6577,1.045
18:23:48:608,0.7803,0.0310,0.6538,1.032
18:23:48:613,0.7791,0.0450,0.6455,1.027
18:23:48:614,0.7857,0.0638,0.6289,1.023
18:23:48:614,0.7959,0.0880,0.6040,1.018
18:23:48:615,0.8018,0.1024,0.5891,1.016
18:23:48:617,0.8087,0.1324,0.5568,1.007
18:23:48:619,0.8040,0.1586,0.5273,0.992
18:23:48:622,0.7864,0.1764,0.5060,0.970
18:23:48:623,0.7649,0.1852,0.4965,0.950
18:23:48:625,0.7464,0.1893,0.4943,0.935
18:23:48:627,0.7341,0.1937,0.4940,0.926
18:23:48:629,0.7285,0.1994,0.4948,0.924
18:23:48:631,0.7349,0.2050,0.4948,0.930
18:23:48:633,0.7525,0.2103,0.4955,0.946
18:23:48:635,0.7749,0.2138,0.4970,0.966
18:23:48:637,0.7938,0.2125,0.4999,0.982
18:23:48:640,0.8060,0.2069,0.5048,0.993
18:23:48:641,0.8123,0.1991,0.5109,0.999
18:23:48:643,0.8153,0.1915,0.5177,1.003
18:23:48:647,0.8179,0.1820,0.5256,1.008
18:23:48:648,0.8211,0.1715,0.5322,1.011
18:23:48:649,0.8231,0.1617,0.5373,1.014
18:23:48:651,0.8275,0.1522,0.5409,1.017
18:23:48:653,0.8336,0.1439,0.5424,1.022
18:23:48:656,0.8392,0.1366,0.5434,1.025
18:23:48:657,0.8446,0.1302,0.5441,1.029
18:23:48:659,0.8490,0.1251,0.5439,1.032
18:23:48:661,0.8539,0.1202,0.5444,1.035
18:23:48:663,0.8556,0.1153,0.5434,1.035
18:23:48:665,0.8551,0.1102,0.5412,1.033
18:23:48:667,0.8563,0.1055,0.5424,1.034
18:23:48:669,0.8541,0.1019,0.5436,1.032
18:23:48:671,0.8507,0.0997,0.5471,1.031
18:23:48:673,0.8455,0.0977,0.5502,1.028
18:23:48:675,0.8394,0.0967,0.5537,1.025
18:23:48:677,0.8363,0.0970,0.5590,1.025
18:23:48:679,0.8324,0.0977,0.5624,1.024
18:23:48:681,0.8297,0.0970,0.5634,1.022
18:23:48:683,0.8294,0.0953,0.5649,1.023
18:23:48:685,0.8277,0.0936,0.5649,1.021
18:23:48:687,0.8243,0.0938,0.5634,1.018
18:23:48:689,0.8218,0.0948,0.5622,1.015
18:23:48:691,0.8211,0.0950,0.5627,1.015
18:23:48:693,0.8223,0.0958,0.5622,1.016
18:23:48:695,0.8233,0.0960,0.5590,1.015
18:23:48:697,0.8243,0.0967,0.5566,1.014
18:23:48:699,0.8223,0.0982,0.5522,1.010
18:23:48:701,0.8187,0.0994,0.5463,1.004
18:23:48:704,0.8162,0.0997,0.5400,0.999
18:23:48:708,0.8135,0.1009,0.5322,0.992
18:23:48:709,0.8138,0.1029,0.5243,0.988
18:23:48:710,0.8153,0.1051,0.5168,0.986
18:23:48:711,0.8167,0.1060,0.5089,0.983
18:23:48:714,0.8209,0.1070,0.5011,0.982
18:23:48:715,0.8226,0.1075,0.4926,0.979
18:23:48:717,0.8240,0.1087,0.4843,0.977
18:23:48:719,0.8297,0.1102,0.4765,0.978
18:23:48:721,0.8363,0.1119,0.4716,0.981
18:23:48:724,0.8414,0.1143,0.4684,0.984
18:23:48:727,0.8473,0.1163,0.4655,0.988
18:23:48:728,0.8534,0.1192,0.4635,0.993
18:23:48:729,0.8585,0.1241,0.4628,0.998
18:23:48:731,0.8629,0.1275,0.4645,1.003
18:23:48:733,0.8702,0.1322,0.4743,1.015
18:23:48:735,0.8717,0.1375,0.4870,1.023
18:23:48:737,0.8507,0.1422,0.5094,1.018
