time,gFx,gFy,gFz,0
22:25:04:622,0.1268,-0.0647,0.9123,0.939
22:25:04:624,0.1175,-0.0596,0.9204,0.946
22:25:04:626,0.1148,-0.0508,0.9287,0.954
22:25:04:629,0.1214,-0.0391,0.9401,0.966
22:25:04:630,0.1361,-0.0235,0.9499,0.978
22:25:04:632,0.1537,-0.0059,0.9553,0.986
22:25:04:633,0.1749,0.0134,0.9582,0.994
22:25:04:634,0.1991,0.0322,0.9621,1.003
22:25:04:635,0.2253,0.0506,0.9690,1.017
22:25:04:636,0.2489,0.0669,0.9805,1.035
22:25:04:638,0.2658,0.0801,0.9983,1.058
22:25:04:639,0.2763,0.0906,1.0208,1.084
22:25:04:640,0.2824,0.1019,1.0450,1.110
22:25:04:641,0.2834,0.1131,1.0662,1.132
22:25:04:642,0.2790,0.1231,1.0823,1.148
22:25:04:643,0.2722,0.1317,1.0955,1.160
22:25:04:645,0.2636,0.1402,1.1075,1.171
22:25:04:646,0.2521,0.1485,1.1178,1.180
22:25:04:647,0.2382,0.1556,1.1253,1.186
22:25:04:648,0.2231,0.1622,1.1292,1.188
22:25:04:649,0.2067,0.1686,1.1283,1.185
22:25:04:651,0.1906,0.1752,1.1226,1.178
22:25:04:652,0.1761,0.1805,1.1141,1.168
22:25:04:655,0.1632,0.1840,1.1048,1.158
22:25:04:656,0.1522,0.1849,1.0921,1.145
22:25:04:670,0.1429,0.1842,1.0735,1.125
22:25:04:671,0.1361,0.1818,1.0513,1.102
22:25:04:672,0.1329,0.1764,1.0303,1.080
22:25:04:672,0.1295,0.1683,1.0115,1.060
22:25:04:673,0.1256,0.1593,0.9910,1.038
22:25:04:674,0.1253,0.1498,0.9695,1.015
22:25:04:674,0.1275,0.1393,0.9463,0.991
22:25:04:674,0.1292,0.1275,0.9194,0.963
22:25:04:675,0.1327,0.1153,0.8957,0.938
22:25:04:676,0.1388,0.1016,0.8742,0.915
22:25:04:679,0.1480,0.0892,0.8502,0.892
22:25:04:680,0.1593,0.0782,0.8239,0.866
22:25:04:682,0.1717,0.0684,0.7970,0.841
22:25:04:684,0.1818,0.0584,0.7660,0.812
22:25:04:686,0.1881,0.0481,0.7200,0.768
22:25:04:689,0.1969,0.0393,0.6677,0.719
22:25:04:690,0.2074,0.0357,0.6384,0.693
22:25:04:692,0.2194,0.0354,0.6365,0.695
22:25:04:694,0.2265,0.0362,0.6438,0.704
22:25:04:696,0.2426,0.0406,0.6673,0.732
22:25:04:698,0.2553,0.0493,0.6910,0.760
22:25:04:699,0.2639,0.0613,0.7098,0.782
22:25:04:702,0.2734,0.0730,0.7420,0.817
22:25:04:704,0.2941,0.0833,0.8094,0.888
22:25:04:706,0.3105,0.0926,0.8644,0.946
22:25:04:708,0.3188,0.1038,0.8979,0.981
22:25:04:710,0.3264,0.1160,0.9304,1.016
22:25:04:712,0.3298,0.1290,0.9570,1.044
22:25:04:714,0.3303,0.1419,0.9819,1.070
22:25:04:716,0.3386,0.1551,1.0178,1.108
22:25:04:718,0.3633,0.1691,1.0628,1.161
22:25:04:721,0.3801,0.1827,1.0960,1.199
22:25:04:722,0.3750,0.1920,1.1033,1.206
22:25:04:725,0.3621,0.1906,1.0928,1.192
22:25:04:726,0.3454,0.1823,1.0774,1.171
22:25:04:728,0.3220,0.1722,1.0613,1.148
22:25:04:730,0.2956,0.1617,1.0413,1.120
22:25:04:732,0.2700,0.1524,1.0156,1.087
22:25:04:734,0.2463,0.1434,0.9866,1.052
22:25:04:736,0.2250,0.1339,0.9572,1.017
22:25:04:738,0.2074,0.1234,0.9267,0.982
22:25:04:741,0.1925,0.1134,0.8952,0.947
22:25:04:742,0.1801,0.1036,0.8632,0.912
22:25:04:744,0.1710,0.0950,0.8322,0.879
22:25:04:746,0.1654,0.0875,0.8033,0.849
22:25:04:748,0.1627,0.0811,0.7762,0.821
22:25:04:750,0.1620,0.0748,0.7508,0.795
22:25:04:752,0.1622,0.0716,0.7293,0.774
22:25:04:754,0.1620,0.0708,0.7105,0.756
22:25:04:759,0.1608,0.0716,0.6949,0.741
22:25:04:760,0.1568,0.0745,0.6836,0.729
22:25:04:761,0.1498,0.0796,0.6770,0.722
22:25:04:763,0.1400,0.0860,0.6758,0.720
22:25:04:765,0.1283,0.0936,0.6809,0.725
22:25:04:766,0.1158,0.1026,0.6927,0.736
22:25:04:768,0.1043,0.1134,0.7088,0.752
22:25:04:770,0.0948,0.1234,0.7305,0.774
22:25:04:774,0.0853,0.1324,0.7559,0.800
22:25:04:776,0.0770,0.1410,0.7816,0.826
22:25:04:777,0.0706,0.1488,0.8070,0.851
22:25:04:778,0.0647,0.1546,0.8305,0.875
22:25:04:780,0.0584,0.1593,0.8512,0.896
22:25:04:782,0.0520,0.1639,0.8705,0.915
22:25:04:784,0.0442,0.1659,0.8874,0.932
22:25:04:786,0.0349,0.1656,0.9003,0.944
22:25:04:788,0.0257,0.1644,0.9103,0.953
22:25:04:790,0.0173,0.1622,0.9157,0.958
22:25:04:793,0.0107,0.1586,0.9162,0.957
22:25:04:796,0.0076,0.1500,0.9194,0.959
22:25:04:797,0.0115,0.1295,0.9326,0.967
22:25:04:798,0.0164,0.1065,0.9377,0.969
22:25:04:799,0.0093,0.0980,0.9296,0.959
22:25:04:802,-0.0076,0.1019,0.9204,0.951
