time,gFx,gFy,gFz,0
22:49:07:337,0.7701,0.1739,0.5776,0.998
22:49:07:339,0.7762,0.1742,0.5959,1.013
22:49:07:341,0.7916,0.1710,0.6106,1.033
22:49:07:342,0.8072,0.1666,0.6213,1.051
22:49:07:344,0.8182,0.1620,0.6269,1.062
22:49:07:345,0.8255,0.1578,0.6274,1.067
22:49:07:345,0.8326,0.1546,0.6245,1.070
22:49:07:346,0.8416,0.1522,0.6203,1.074
22:49:07:347,0.8521,0.1495,0.6172,1.080
22:49:07:348,0.8607,0.1468,0.6138,1.084
22:49:07:348,0.8646,0.1432,0.6094,1.084
22:49:07:349,0.8648,0.1415,0.6035,1.081
22:49:07:349,0.8602,0.1417,0.5962,1.073
22:49:07:350,0.8517,0.1432,0.5864,1.061
22:49:07:351,0.8429,0.1446,0.5756,1.048
22:49:07:354,0.8348,0.1480,0.5622,1.034
22:49:07:355,0.8282,0.1517,0.5488,1.022
22:49:07:358,0.8231,0.1554,0.5368,1.012
22:49:07:359,0.8192,0.1590,0.5258,1.004
22:49:07:360,0.8167,0.1620,0.5163,0.997
22:49:07:362,0.8153,0.1637,0.5080,0.992
22:49:07:364,0.8150,0.1637,0.4977,0.986
22:49:07:366,0.8162,0.1632,0.4884,0.982
22:49:07:368,0.8179,0.1639,0.4835,0.981
22:49:07:373,0.8209,0.1637,0.4818,0.983
22:49:07:375,0.8243,0.1617,0.4799,0.984
22:49:07:376,0.8277,0.1600,0.4779,0.986
22:49:07:377,0.8297,0.1586,0.4784,0.988
22:49:07:379,0.8306,0.1573,0.4806,0.989
22:49:07:380,0.8306,0.1568,0.4843,0.991
22:49:07:382,0.8314,0.1566,0.4892,0.994
22:49:07:384,0.8321,0.1554,0.4950,0.997
22:49:07:387,0.8326,0.1544,0.5004,1.000
22:49:07:389,0.8341,0.1537,0.5050,1.004
22:49:07:390,0.8363,0.1520,0.5094,1.008
22:49:07:392,0.8380,0.1500,0.5143,1.011
22:49:07:394,0.8399,0.1493,0.5192,1.015
22:49:07:396,0.8424,0.1473,0.5229,1.019
22:49:07:398,0.8441,0.1459,0.5268,1.022
22:49:07:400,0.8448,0.1451,0.5300,1.024
22:49:07:402,0.8446,0.1437,0.5324,1.025
22:49:07:405,0.8441,0.1419,0.5356,1.026
22:49:07:406,0.8443,0.1410,0.5378,1.027
22:49:07:413,0.8451,0.1412,0.5414,1.030
22:49:07:414,0.8451,0.1424,0.5449,1.032
22:49:07:415,0.8448,0.1439,0.5466,1.033
22:49:07:416,0.8455,0.1456,0.5471,1.034
22:49:07:416,0.8458,0.1471,0.5478,1.035
22:49:07:418,0.8453,0.1476,0.5478,1.035
22:49:07:422,0.8438,0.1488,0.5483,1.034
22:49:07:423,0.8424,0.1502,0.5493,1.034
22:49:07:425,0.8426,0.1510,0.5488,1.034
22:49:07:426,0.8424,0.1517,0.5485,1.034
22:49:07:428,0.8414,0.1522,0.5475,1.032
22:49:07:430,0.8402,0.1527,0.5444,1.030
22:49:07:433,0.8382,0.1522,0.5414,1.026
22:49:07:434,0.8375,0.1529,0.5390,1.025
22:49:07:436,0.8372,0.1559,0.5358,1.023
22:49:07:439,0.8370,0.1571,0.5322,1.021
22:49:07:441,0.8360,0.1566,0.5280,1.018
22:49:07:442,0.8326,0.1573,0.5241,1.013
22:49:07:445,0.8265,0.1588,0.5212,1.007
22:49:07:446,0.8153,0.1627,0.5192,0.998
22:49:07:448,0.8025,0.1664,0.5168,0.987
22:49:07:450,0.7940,0.1671,0.5143,0.979
22:49:07:453,0.7938,0.1656,0.5129,0.977
22:49:07:457,0.8016,0.1627,0.5129,0.983
22:49:07:458,0.8135,0.1586,0.5141,0.993
22:49:07:459,0.8245,0.1544,0.5155,1.002
22:49:07:460,0.8316,0.1529,0.5187,1.009
22:49:07:462,0.8350,0.1527,0.5234,1.014
22:49:07:465,0.8358,0.1505,0.5292,1.017
22:49:07:466,0.8343,0.1483,0.5356,1.019
22:49:07:468,0.8311,0.1471,0.5412,1.019
22:49:07:472,0.8265,0.1454,0.5449,1.017
22:49:07:473,0.8194,0.1446,0.5461,1.012
22:49:07:475,0.8111,0.1451,0.5483,1.007
22:49:07:476,0.8045,0.1454,0.5510,1.003
22:49:07:479,0.8011,0.1444,0.5529,1.001
22:49:07:480,0.7999,0.1432,0.5554,1.001
22:49:07:482,0.8001,0.1422,0.5580,1.003
22:49:07:484,0.8016,0.1415,0.5602,1.005
22:49:07:486,0.8035,0.1402,0.5622,1.008
22:49:07:489,0.8057,0.1385,0.5639,1.010
22:49:07:491,0.8087,0.1361,0.5654,1.013
22:49:07:492,0.8118,0.1349,0.5671,1.016
22:49:07:494,0.8148,0.1344,0.5676,1.019
22:49:07:496,0.8179,0.1336,0.5681,1.021
22:49:07:498,0.8206,0.1327,0.5683,1.024
22:49:07:500,0.8240,0.1322,0.5659,1.025
22:49:07:502,0.8277,0.1319,0.5629,1.026
22:49:07:507,0.8311,0.1329,0.5598,1.027
22:49:07:509,0.8348,0.1339,0.5566,1.029
22:49:07:510,0.8370,0.1358,0.5529,1.029
22:49:07:510,0.8380,0.1373,0.5502,1.028
22:49:07:512,0.8387,0.1393,0.5473,1.028
22:49:07:514,0.8385,0.1407,0.5449,1.026
22:49:07:516,0.8389,0.1432,0.5419,1.026
22:49:07:518,0.8416,0.1434,0.5385,1.026
22:49:07:521,0.8536,0.1373,0.5344,1.032
22:49:07:523,0.8590,0.1331,0.5260,1.032
22:49:07:525,0.8512,0.1356,0.5148,1.020
22:49:07:526,0.8404,0.1410,0.5043,1.006
22:49:07:528,0.8328,0.1461,0.4965,0.997
22:49:07:530,0.8289,0.1517,0.4921,0.992
22:49:07:532,0.8270,0.1568,0.4904,0.991
22:49:07:534,0.8267,0.1603,0.4923,0.993
22:49:07:536,0.8248,0.1634,0.4962,0.994
22:49:07:539,0.8236,0.1647,0.5006,0.995
22:49:07:540,0.8221,0.1649,0.5045,0.996
22:49:07:542,0.8189,0.1649,0.5094,0.996
22:49:07:545,0.8177,0.1630,0.5141,0.997
22:49:07:546,0.8177,0.1576,0.5165,0.997
22:49:07:548,0.8187,0.1532,0.5165,0.997
22:49:07:550,0.8204,0.1524,0.5160,0.998
22:49:07:552,0.8211,0.1532,0.5160,0.999
22:49:07:554,0.8187,0.1544,0.5177,0.998
22:49:07:557,0.8153,0.1551,0.5204,0.997
22:49:07:559,0.8140,0.1549,0.5229,0.997
22:49:07:560,0.8150,0.1529,0.5251,0.999
22:49:07:562,0.8153,0.1524,0.5273,1.000
22:49:07:564,0.8162,0.1524,0.5287,1.002
22:49:07:565,0.8187,0.1515,0.5312,1.005
22:49:07:567,0.8196,0.1500,0.5329,1.006
22:49:07:570,0.8194,0.1498,0.5339,1.006
22:49:07:573,0.8189,0.1493,0.5356,1.007
22:49:07:576,0.8167,0.1502,0.5373,1.006
22:49:07:577,0.8148,0.1529,0.5397,1.007
22:49:07:578,0.8145,0.1539,0.5417,1.008
22:49:07:580,0.8162,0.1539,0.5475,1.012
22:49:07:582,0.8204,0.1505,0.5519,1.017
22:49:07:584,0.8209,0.1463,0.5554,1.019
22:49:07:585,0.8201,0.1454,0.5566,1.019
22:49:07:589,0.8196,0.1446,0.5583,1.019
22:49:07:591,0.8201,0.1444,0.5595,1.020
22:49:07:593,0.8174,0.1459,0.5595,1.018
22:49:07:595,0.8121,0.1502,0.5602,1.015
22:49:07:596,0.8084,0.1551,0.5632,1.015
22:49:07:598,0.8094,0.1581,0.5671,1.019
22:49:07:600,0.8113,0.1588,0.5712,1.023
22:49:07:602,0.8133,0.1583,0.5744,1.026
22:49:07:618,0.8162,0.1566,0.5756,1.029
22:49:07:619,0.8196,0.1542,0.5754,1.031
22:49:07:620,0.8211,0.1517,0.5739,1.031
22:49:07:621,0.8231,0.1495,0.5708,1.030
22:49:07:623,0.8253,0.1468,0.5661,1.029
22:49:07:624,0.8236,0.1451,0.5605,1.024
22:49:07:625,0.8189,0.1444,0.5539,1.016
22:49:07:625,0.8148,0.1427,0.5453,1.008
22:49:07:626,0.8145,0.1407,0.5378,1.003
22:49:07:627,0.8187,0.1400,0.5319,1.003
22:49:07:628,0.8282,0.1390,0.5280,1.008
22:49:07:629,0.8380,0.1380,0.5251,1.015
22:49:07:630,0.8455,0.1361,0.5236,1.020
22:49:07:631,0.8507,0.1336,0.5236,1.024
22:49:07:632,0.8521,0.1312,0.5246,1.025
22:49:07:638,0.8507,0.1292,0.5263,1.024
22:49:07:639,0.8460,0.1287,0.5278,1.021
22:49:07:640,0.8387,0.1287,0.5297,1.016
22:49:07:642,0.8316,0.1287,0.5309,1.011
22:49:07:643,0.8262,0.1297,0.5317,1.007
22:49:07:644,0.8218,0.1314,0.5314,1.004
22:49:07:647,0.8187,0.1341,0.5336,1.003
22:49:07:649,0.8311,0.1353,0.5637,1.030
22:49:07:650,0.8707,0.1280,0.6269,1.097
22:49:07:654,0.9262,0.1124,0.6890,1.175
22:49:07:655,0.9858,0.0897,0.7398,1.250
22:49:07:658,1.0337,0.0603,0.7655,1.300
22:49:07:660,1.0337,0.0467,0.7452,1.287
22:49:07:661,0.9999,0.0555,0.6839,1.225
22:49:07:663,0.9687,0.0784,0.6096,1.160
22:49:07:664,0.9550,0.1033,0.5463,1.118
22:49:07:666,0.9528,0.1241,0.5065,1.100
22:49:07:667,0.9506,0.1380,0.4914,1.093
22:49:07:669,0.9428,0.1437,0.4943,1.089
22:49:07:672,0.9271,0.1434,0.5094,1.083
22:49:07:674,0.9066,0.1380,0.5366,1.078
22:49:07:675,0.8851,0.1300,0.5649,1.074
22:49:07:677,0.8631,0.1251,0.5866,1.067
22:49:07:679,0.8436,0.1226,0.6023,1.060
22:49:07:682,0.8282,0.1226,0.6108,1.053
22:49:07:684,0.8165,0.1258,0.6116,1.045
22:49:07:685,0.8067,0.1322,0.6057,1.034
22:49:07:688,0.7981,0.1410,0.5930,1.022
22:49:07:689,0.7935,0.1478,0.5781,1.011
22:49:07:691,0.7903,0.1542,0.5605,0.999
22:49:07:693,0.7876,0.1586,0.5439,0.988
22:49:07:695,0.7869,0.1598,0.5302,0.980
22:49:07:697,0.7908,0.1608,0.5219,0.979
22:49:07:699,0.7984,0.1600,0.5180,0.983
22:49:07:701,0.8067,0.1566,0.5136,0.986
22:49:07:703,0.8150,0.1517,0.5055,0.988
22:49:07:706,0.8245,0.1488,0.4994,0.992
22:49:07:708,0.8358,0.1459,0.4962,0.999
22:49:07:709,0.8455,0.1427,0.4882,1.003
22:49:07:712,0.8529,0.1385,0.4779,1.003
22:49:07:713,0.8590,0.1353,0.4672,1.002
22:49:07:716,0.8646,0.1334,0.4559,1.001
22:49:07:717,0.8688,0.1324,0.4457,1.000
22:49:07:720,0.8736,0.1317,0.4396,1.001
22:49:07:722,0.8797,0.1302,0.4344,1.004
22:49:07:724,0.8866,0.1290,0.4300,1.008
22:49:07:725,0.8937,0.1300,0.4259,1.012
22:49:07:728,0.9012,0.1322,0.4227,1.018
22:49:07:729,0.9086,0.1341,0.4217,1.024
22:49:07:732,0.9159,0.1351,0.4222,1.031
22:49:07:733,0.9235,0.1373,0.4234,1.039
22:49:07:735,0.9291,0.1395,0.4254,1.045
22:49:07:738,0.9318,0.1402,0.4259,1.048
22:49:07:740,0.9333,0.1395,0.4234,1.048
22:49:07:742,0.9320,0.1368,0.4171,1.044
22:49:07:744,0.9176,0.1351,0.4234,1.033
22:49:07:746,0.8292,0.1510,0.4975,0.995
22:49:07:748,0.6342,0.1903,0.6301,0.937
22:49:07:750,0.4029,0.2238,0.6897,0.858
22:49:07:752,0.2724,0.2194,0.6365,0.758
22:49:07:754,0.3025,0.1862,0.5483,0.683
22:49:07:757,0.4065,0.1576,0.5043,0.693
22:49:07:758,0.4918,0.1517,0.5158,0.752
22:49:07:760,0.5377,0.1630,0.5524,0.811
22:49:07:762,0.5678,0.1761,0.5898,0.861
22:49:07:764,0.6149,0.1842,0.6179,0.914
22:49:07:765,0.6970,0.1827,0.6335,0.981
22:49:07:768,0.7981,0.1705,0.6382,1.055
22:49:07:770,0.9049,0.1456,0.6333,1.131
22:49:07:772,1.0017,0.1136,0.6260,1.201
22:49:07:774,1.0613,0.0836,0.6257,1.247
22:49:07:776,1.0686,0.0623,0.6374,1.257
22:49:07:778,1.0319,0.0498,0.6550,1.235
22:49:07:779,0.9789,0.0432,0.6741,1.201
22:49:07:781,0.9315,0.0384,0.6929,1.174
22:49:07:784,0.9042,0.0332,0.7137,1.165
22:49:07:785,0.8971,0.0239,0.7379,1.174
22:49:07:788,0.9000,0.0120,0.7601,1.190
22:49:07:790,0.9069,0.0002,0.7772,1.206
22:49:07:792,0.9130,-0.0098,0.7875,1.217
22:49:07:794,0.9152,-0.0188,0.7875,1.218
