time,gFx,gFy,gFz,TgF
22:51:49:041,0.8170,-0.0195,0.6673,1.066
22:51:49:042,0.8021,-0.0132,0.6699,1.056
22:51:49:043,0.7891,-0.0056,0.6702,1.047
22:51:49:044,0.7796,0.0020,0.6675,1.038
22:51:49:045,0.7718,0.0100,0.6626,1.030
22:51:49:046,0.7671,0.0178,0.6570,1.023
22:51:49:047,0.7661,0.0235,0.6502,1.018
22:51:49:048,0.7683,0.0264,0.6436,1.016
22:51:49:049,0.7723,0.0279,0.6377,1.015
22:51:49:050,0.7766,0.0283,0.6331,1.015
22:51:49:051,0.7820,0.0269,0.6301,1.017
22:51:49:052,0.7881,0.0249,0.6265,1.020
22:51:49:059,0.7940,0.0230,0.6240,1.022
22:51:49:060,0.7984,0.0198,0.6233,1.025
22:51:49:061,0.8011,0.0171,0.6221,1.026
22:51:49:063,0.8028,0.0142,0.6211,1.027
22:51:49:063,0.8045,0.0120,0.6201,1.027
22:51:49:064,0.8062,0.0100,0.6196,1.028
22:51:49:066,0.8096,0.0064,0.6199,1.031
22:51:49:072,0.8133,0.0029,0.6213,1.035
22:51:49:073,0.8157,-0.0002,0.6240,1.038
22:51:49:074,0.8174,-0.0032,0.6267,1.041
22:51:49:075,0.8179,-0.0054,0.6296,1.043
22:51:49:076,0.8179,-0.0068,0.6326,1.045
22:51:49:078,0.8179,-0.0073,0.6340,1.046
22:51:49:080,0.8174,-0.0073,0.6333,1.045
22:51:49:088,0.8204,-0.0083,0.6311,1.046
22:51:49:089,0.8275,-0.0098,0.6269,1.049
22:51:49:090,0.8348,-0.0086,0.6186,1.049
22:51:49:091,0.8407,-0.0066,0.6101,1.049
22:51:49:092,0.8492,-0.0068,0.6098,1.056
22:51:49:093,0.8688,-0.0188,0.6287,1.082
22:51:49:094,0.8961,-0.0428,0.6702,1.129
22:51:49:098,0.9081,-0.0498,0.6941,1.153
22:51:49:098,0.9105,-0.0423,0.7032,1.160
22:51:49:100,0.9032,-0.0318,0.7056,1.156
22:51:49:102,0.8900,-0.0210,0.7037,1.145
22:51:49:104,0.8707,-0.0103,0.6939,1.124
22:51:49:105,0.8514,-0.0020,0.6826,1.102
22:51:49:107,0.8372,0.0024,0.6729,1.086
22:51:49:111,0.8282,0.0027,0.6619,1.072
22:51:49:112,0.8238,-0.0032,0.6487,1.060
22:51:49:114,0.8211,-0.0098,0.6335,1.048
22:51:49:116,0.8174,-0.0110,0.6098,1.030
22:51:49:118,0.8194,-0.0169,0.5654,1.005
22:51:49:120,0.8267,-0.0288,0.5148,0.982
22:51:49:122,0.8275,-0.0340,0.4882,0.969
22:51:49:124,0.8201,-0.0298,0.4806,0.959
22:51:49:126,0.8052,-0.0227,0.4813,0.947
22:51:49:130,0.7886,-0.0161,0.4835,0.934
22:51:49:131,0.7747,-0.0083,0.4870,0.924
22:51:49:135,0.7637,0.0005,0.4921,0.918
22:51:49:136,0.7539,0.0083,0.4943,0.912
22:51:49:137,0.7444,0.0151,0.4945,0.905
22:51:49:138,0.7383,0.0225,0.4984,0.903
22:51:49:139,0.7361,0.0300,0.5050,0.905
22:51:49:142,0.7354,0.0374,0.5133,0.910
22:51:49:144,0.7356,0.0432,0.5226,0.916
22:51:49:146,0.7393,0.0474,0.5329,0.926
22:51:49:147,0.7466,0.0484,0.5439,0.938
22:51:49:150,0.7561,0.0464,0.5559,0.953
22:51:49:152,0.7688,0.0410,0.5676,0.969
22:51:49:153,0.7830,0.0327,0.5793,0.987
22:51:49:155,0.7955,0.0242,0.5898,1.003
22:51:49:157,0.8050,0.0169,0.5979,1.014
22:51:49:161,0.8113,0.0112,0.6040,1.023
22:51:49:162,0.8140,0.0066,0.6072,1.027
22:51:49:164,0.8123,0.0032,0.6076,1.025
22:51:49:166,0.8089,0.0024,0.6079,1.023
22:51:49:168,0.8038,0.0029,0.6067,1.018
22:51:49:170,0.7979,0.0051,0.6042,1.012
22:51:49:171,0.7920,0.0088,0.6013,1.006
22:51:49:173,0.7869,0.0122,0.5991,1.001
22:51:49:176,0.7835,0.0134,0.5964,0.996
22:51:49:178,0.7810,0.0159,0.5940,0.993
22:51:49:179,0.7806,0.0188,0.5923,0.992
22:51:49:183,0.7820,0.0210,0.5913,0.993
22:51:49:184,0.7845,0.0227,0.5910,0.995
22:51:49:185,0.7864,0.0239,0.5905,0.996
22:51:49:187,0.7889,0.0247,0.5910,0.998
22:51:49:189,0.7908,0.0266,0.5913,1.000
22:51:49:192,0.7923,0.0283,0.5923,1.002
22:51:49:194,0.7935,0.0298,0.5940,1.004
22:51:49:196,0.7938,0.0303,0.5940,1.004
22:51:49:198,0.7933,0.0305,0.5940,1.004
22:51:49:200,0.7928,0.0300,0.5935,1.003
22:51:49:202,0.7930,0.0300,0.5927,1.003
22:51:49:204,0.7935,0.0308,0.5923,1.003
22:51:49:206,0.7928,0.0308,0.5920,1.002
22:51:49:208,0.7908,0.0313,0.5918,1.001
22:51:49:210,0.7889,0.0320,0.5910,0.999
22:51:49:212,0.7879,0.0335,0.5896,0.997
22:51:49:214,0.7881,0.0347,0.5893,0.997
22:51:49:216,0.7876,0.0349,0.5905,0.998
22:51:49:217,0.7874,0.0352,0.5905,0.998
22:51:49:220,0.7874,0.0352,0.5898,0.997
22:51:49:221,0.7886,0.0352,0.5901,0.998
22:51:49:223,0.7913,0.0349,0.5908,1.001
22:51:49:226,0.7955,0.0347,0.5903,1.004
22:51:49:228,0.8033,0.0279,0.5883,1.008
22:51:49:230,0.8160,0.0169,0.5854,1.016
22:51:49:234,0.8277,0.0132,0.5857,1.025
22:51:49:235,0.8328,0.0173,0.5896,1.032
22:51:49:236,0.8306,0.0242,0.5940,1.033
22:51:49:238,0.8267,0.0288,0.5954,1.031
22:51:49:240,0.8243,0.0308,0.5920,1.027
22:51:49:242,0.8243,0.0305,0.5871,1.024
22:51:49:248,0.8255,0.0313,0.5842,1.024
22:51:49:250,0.8253,0.0357,0.5837,1.024
22:51:49:251,0.8240,0.0401,0.5832,1.023
22:51:49:252,0.8238,0.0415,0.5815,1.022
22:51:49:253,0.8221,0.0428,0.5781,1.018
22:51:49:255,0.8201,0.0454,0.5759,1.016
22:51:49:257,0.8192,0.0469,0.5754,1.015
22:51:49:258,0.8194,0.0459,0.5756,1.015
22:51:49:260,0.8189,0.0452,0.5749,1.014
22:51:49:271,0.8179,0.0462,0.5739,1.013
22:51:49:272,0.8157,0.0489,0.5756,1.012
22:51:49:273,0.8148,0.0518,0.5771,1.013
22:51:49:274,0.8133,0.0528,0.5771,1.012
22:51:49:275,0.8121,0.0537,0.5771,1.011
22:51:49:276,0.8118,0.0537,0.5771,1.011
22:51:49:277,0.8133,0.0525,0.5774,1.012
22:51:49:278,0.8153,0.0506,0.5793,1.014
22:51:49:278,0.8182,0.0479,0.5817,1.018
22:51:49:281,0.8223,0.0462,0.5866,1.024
22:51:49:283,0.8311,0.0452,0.6047,1.042
22:51:49:286,0.8370,0.0440,0.6218,1.056
22:51:49:287,0.8319,0.0425,0.6245,1.054
22:51:49:288,0.8216,0.0410,0.6191,1.042
22:51:49:289,0.8150,0.0396,0.6120,1.033
22:51:49:291,0.8182,0.0384,0.6120,1.035
22:51:49:295,0.8221,0.0369,0.6125,1.038
22:51:49:299,0.8238,0.0349,0.6096,1.038
22:51:49:300,0.8289,0.0291,0.6052,1.039
22:51:49:301,0.8380,0.0225,0.6010,1.043
22:51:49:302,0.8468,0.0208,0.6025,1.051
22:51:49:304,0.8495,0.0225,0.6072,1.056
22:51:49:305,0.8455,0.0242,0.6069,1.053
22:51:49:307,0.8397,0.0249,0.5969,1.042
22:51:49:309,0.8343,0.0269,0.5839,1.030
22:51:49:312,0.8299,0.0318,0.5744,1.022
22:51:49:314,0.8260,0.0359,0.5678,1.015
22:51:49:315,0.8228,0.0386,0.5632,1.010
22:51:49:317,0.8196,0.0410,0.5578,1.004
22:51:49:319,0.8160,0.0445,0.5522,0.999
22:51:49:322,0.8131,0.0489,0.5483,0.994
22:51:49:324,0.8104,0.0528,0.5461,0.991
22:51:49:325,0.8082,0.0540,0.5427,0.988
22:51:49:338,0.8087,0.0533,0.5392,0.986
22:51:49:339,0.8084,0.0547,0.5368,0.985
22:51:49:340,0.8069,0.0584,0.5356,0.983
22:51:49:341,0.8057,0.0606,0.5348,0.982
22:51:49:342,0.8065,0.0596,0.5344,0.982
22:51:49:342,0.8079,0.0584,0.5358,0.984
22:51:49:343,0.8065,0.0596,0.5383,0.984
22:51:49:344,0.8052,0.0611,0.5395,0.984
22:51:49:345,0.8040,0.0616,0.5402,0.984
22:51:49:346,0.8018,0.0616,0.5414,0.983
22:51:49:358,0.8001,0.0618,0.5429,0.982
22:51:49:359,0.7986,0.0625,0.5451,0.982
22:51:49:360,0.7962,0.0623,0.5475,0.982
22:51:49:361,0.7942,0.0613,0.5495,0.981
22:51:49:362,0.7942,0.0608,0.5512,0.982
22:51:49:363,0.7945,0.0599,0.5549,0.984
22:51:49:363,0.7947,0.0603,0.5585,0.987
22:51:49:364,0.7957,0.0611,0.5612,0.989
22:51:49:365,0.7969,0.0596,0.5634,0.991
22:51:49:366,0.7996,0.0569,0.5651,0.994
22:51:49:372,0.8047,0.0533,0.5676,0.999
22:51:49:373,0.8109,0.0479,0.5698,1.005
22:51:49:374,0.8167,0.0425,0.5703,1.009
22:51:49:375,0.8223,0.0398,0.5717,1.015
22:51:49:376,0.8255,0.0403,0.5744,1.019
22:51:49:378,0.8258,0.0410,0.5771,1.021
22:51:49:381,0.8260,0.0420,0.5783,1.022
22:51:49:382,0.8292,0.0403,0.5808,1.025
22:51:49:383,0.8424,0.0349,0.5940,1.043
22:51:49:385,0.8595,0.0298,0.6118,1.067
22:51:49:388,0.8663,0.0252,0.6177,1.076
22:51:49:389,0.8617,0.0183,0.6116,1.068
22:51:49:391,0.8436,0.0068,0.6035,1.048
22:51:49:393,0.8231,-0.0073,0.5976,1.027
22:51:49:396,0.8131,-0.0225,0.5969,1.019
22:51:49:397,0.8131,-0.0371,0.6072,1.024
22:51:49:399,0.8167,-0.0533,0.6267,1.039
22:51:49:401,0.8218,-0.0708,0.6445,1.055
22:51:49:404,0.8233,-0.0938,0.6528,1.062
22:51:49:405,0.8206,-0.1236,0.6494,1.059
22:51:49:407,0.8287,-0.1539,0.6372,1.060
22:51:49:409,0.8600,-0.1779,0.6118,1.072
22:51:49:412,0.9054,-0.1901,0.5769,1.091
22:51:49:414,0.9508,-0.1869,0.5431,1.111
22:51:49:415,0.9885,-0.1727,0.5197,1.131
22:51:49:417,1.0153,-0.1561,0.5114,1.149
22:51:49:419,1.0319,-0.1405,0.5146,1.163
22:51:49:421,1.0405,-0.1266,0.5234,1.174
22:51:49:424,1.0451,-0.1143,0.5317,1.181
22:51:49:425,1.0486,-0.1014,0.5361,1.186
22:51:49:427,1.0527,-0.0877,0.5366,1.189
22:51:49:432,1.0569,-0.0735,0.5356,1.192
22:51:49:434,1.0583,-0.0589,0.5331,1.192
22:51:49:435,1.0547,-0.0454,0.5334,1.189
22:51:49:436,1.0451,-0.0327,0.5537,1.190
22:51:49:437,1.0327,-0.0232,0.5879,1.196
22:51:49:441,1.0170,-0.0176,0.6084,1.194
22:51:49:442,0.9990,-0.0142,0.6059,1.177
22:51:49:444,0.9828,-0.0105,0.5861,1.153
22:51:49:446,0.9704,-0.0046,0.5563,1.127
22:51:49:448,0.9567,0.0039,0.5273,1.101
22:51:49:449,0.9420,0.0154,0.5050,1.078
22:51:49:451,0.9276,0.0298,0.4870,1.058
22:51:49:453,0.9083,0.0432,0.4650,1.031
22:51:49:456,0.8851,0.0545,0.4352,0.998
22:51:49:457,0.8617,0.0677,0.4144,0.970
22:51:49:459,0.8424,0.0828,0.4093,0.952
22:51:49:462,0.8282,0.0994,0.4142,0.944
22:51:49:463,0.8189,0.1138,0.4225,0.943
22:51:49:465,0.8099,0.1251,0.4283,0.940
22:51:49:467,0.7547,0.1295,0.4251,0.892
22:51:49:469,0.6306,0.1275,0.4034,0.777
22:51:49:471,0.5387,0.1165,0.3599,0.677
22:51:49:473,0.5499,0.0972,0.3189,0.660
