time,gFx,gFy,gFz,TgF
22:56:11:044,0.1236,0.2646,0.9238,1.000
22:56:11:045,0.1219,0.2663,0.9316,1.008
22:56:11:047,0.1226,0.2678,0.9357,1.012
22:56:11:048,0.1256,0.2675,0.9367,1.014
22:56:11:049,0.1295,0.2665,0.9335,1.011
22:56:11:050,0.1331,0.2663,0.9274,1.005
22:56:11:051,0.1341,0.2660,0.9177,0.996
22:56:11:051,0.1302,0.2680,0.9042,0.984
22:56:11:053,0.1273,0.2704,0.8949,0.976
22:56:11:054,0.1295,0.2700,0.8925,0.973
22:56:11:056,0.1356,0.2665,0.8918,0.972
22:56:11:057,0.1410,0.2634,0.8901,0.971
22:56:11:058,0.1429,0.2621,0.8898,0.970
22:56:11:059,0.1412,0.2624,0.8920,0.972
22:56:11:061,0.1383,0.2634,0.8957,0.975
22:56:11:063,0.1349,0.2651,0.9011,0.981
22:56:11:075,0.1324,0.2678,0.9081,0.988
22:56:11:076,0.1319,0.2697,0.9172,0.997
22:56:11:077,0.1331,0.2719,0.9255,1.005
22:56:11:078,0.1346,0.2739,0.9326,1.013
22:56:11:079,0.1361,0.2753,0.9423,1.023
22:56:11:081,0.1378,0.2766,0.9543,1.035
22:56:11:082,0.1385,0.2775,0.9653,1.045
22:56:11:083,0.1371,0.2780,0.9765,1.056
22:56:11:084,0.1353,0.2780,0.9902,1.069
22:56:11:086,0.1324,0.2785,1.0049,1.082
22:56:11:087,0.1275,0.2795,1.0195,1.096
22:56:11:088,0.1219,0.2810,1.0337,1.109
22:56:11:089,0.1143,0.2819,1.0486,1.123
22:56:11:090,0.0985,0.2795,1.0599,1.131
22:56:11:092,0.0848,0.2792,1.0687,1.138
22:56:11:106,0.0804,0.2851,1.0792,1.150
22:56:11:107,0.0811,0.2922,1.0894,1.162
22:56:11:108,0.0836,0.2966,1.0941,1.168
22:56:11:108,0.0855,0.2988,1.0926,1.167
22:56:11:109,0.0880,0.3010,1.0894,1.165
22:56:11:109,0.0904,0.3032,1.0865,1.163
22:56:11:110,0.0921,0.3066,1.0838,1.161
22:56:11:111,0.0926,0.3105,1.0814,1.160
22:56:11:111,0.0931,0.3139,1.0814,1.162
22:56:11:112,0.0928,0.3154,1.0814,1.162
22:56:11:114,0.0899,0.3193,1.0804,1.162
22:56:11:121,0.0787,0.3301,1.0772,1.162
22:56:11:122,0.0264,0.3821,1.0728,1.173
22:56:11:123,-0.0205,0.4319,1.0713,1.191
22:56:11:124,-0.0286,0.4591,1.0721,1.203
22:56:11:124,-0.0205,0.4796,1.0704,1.210
22:56:11:128,0.0027,0.4698,1.0665,1.202
22:56:11:129,0.0288,0.4329,1.0599,1.181
22:56:11:130,0.0511,0.3911,1.0442,1.151
22:56:11:132,0.0694,0.3701,1.0327,1.133
22:56:11:138,0.0799,0.3626,1.0266,1.126
22:56:11:139,0.0843,0.3596,1.0237,1.122
22:56:11:140,0.0877,0.3582,1.0225,1.121
22:56:11:140,0.0931,0.3562,1.0208,1.119
22:56:11:141,0.1002,0.3555,1.0193,1.118
22:56:11:147,0.1075,0.3540,1.0166,1.116
22:56:11:149,0.1138,0.3518,1.0112,1.110
22:56:11:150,0.1190,0.3494,1.0049,1.104
22:56:11:151,0.1248,0.3459,0.9956,1.095
22:56:11:153,0.1324,0.3411,0.9802,1.080
22:56:11:154,0.1432,0.3345,0.9616,1.062
22:56:11:156,0.1578,0.3276,0.9487,1.049
22:56:11:158,0.1725,0.3213,0.9441,1.045
22:56:11:160,0.1842,0.3171,0.9472,1.049
22:56:11:164,0.1932,0.3154,0.9572,1.059
22:56:11:165,0.2003,0.3159,0.9697,1.072
22:56:11:166,0.2060,0.3152,0.9812,1.083
22:56:11:168,0.2113,0.3134,0.9900,1.092
22:56:11:170,0.2169,0.3098,0.9954,1.097
22:56:11:172,0.2204,0.3051,0.9978,1.098
22:56:11:173,0.2228,0.2998,1.0005,1.099
22:56:11:176,0.2245,0.2941,1.0044,1.101
22:56:11:178,0.2260,0.2883,1.0086,1.104
22:56:11:183,0.2257,0.2827,1.0122,1.105
22:56:11:184,0.2245,0.2773,1.0151,1.106
22:56:11:185,0.2211,0.2731,1.0193,1.108
22:56:11:186,0.2165,0.2690,1.0239,1.111
22:56:11:187,0.2121,0.2639,1.0332,1.117
22:56:11:189,0.2067,0.2612,1.0430,1.124
22:56:11:192,0.2008,0.2612,1.0432,1.124
22:56:11:193,0.1947,0.2621,1.0352,1.115
22:56:11:196,0.1906,0.2626,1.0266,1.107
22:56:11:197,0.1886,0.2602,1.0230,1.102
22:56:11:199,0.1867,0.2570,1.0232,1.101
22:56:11:201,0.1820,0.2551,1.0181,1.095
22:56:11:204,0.1752,0.2536,1.0056,1.082
22:56:11:205,0.1698,0.2487,0.9954,1.070
22:56:11:208,0.1664,0.2416,0.9910,1.063
22:56:11:209,0.1644,0.2338,0.9927,1.062
22:56:11:212,0.1632,0.2267,0.9971,1.064
22:56:11:214,0.1630,0.2206,1.0007,1.066
22:56:11:216,0.1644,0.2160,1.0017,1.066
22:56:11:217,0.1669,0.2130,1.0022,1.066
22:56:11:219,0.1683,0.2123,1.0027,1.067
22:56:11:222,0.1698,0.2145,1.0034,1.068
22:56:11:223,0.1717,0.2179,1.0034,1.070
22:56:11:225,0.1757,0.2223,1.0037,1.072
22:56:11:230,0.1815,0.2282,1.0044,1.075
22:56:11:231,0.1862,0.2348,1.0059,1.079
22:56:11:231,0.1906,0.2414,1.0073,1.082
22:56:11:233,0.1952,0.2487,1.0112,1.089
22:56:11:235,0.1979,0.2555,1.0176,1.097
22:56:11:237,0.1969,0.2614,1.0249,1.106
22:56:11:240,0.1947,0.2673,1.0325,1.114
22:56:11:242,0.1928,0.2719,1.0393,1.122
22:56:11:244,0.1908,0.2756,1.0450,1.128
22:56:11:247,0.1898,0.2795,1.0479,1.131
22:56:11:249,0.1881,0.2827,1.0493,1.133
22:56:11:250,0.1857,0.2846,1.0503,1.134
22:56:11:252,0.1815,0.2868,1.0511,1.135
22:56:11:254,0.1764,0.2897,1.0528,1.137
22:56:11:256,0.1717,0.2919,1.0542,1.138
22:56:11:257,0.1673,0.2932,1.0547,1.138
22:56:11:260,0.1627,0.2944,1.0528,1.136
22:56:11:277,0.1573,0.2949,1.0484,1.131
22:56:11:279,0.1517,0.2946,1.0425,1.125
22:56:11:280,0.1456,0.2939,1.0359,1.118
22:56:11:281,0.1385,0.2927,1.0271,1.108
22:56:11:282,0.1319,0.2915,1.0183,1.099
22:56:11:283,0.1275,0.2905,1.0086,1.089
22:56:11:284,0.1273,0.2885,0.9985,1.079
22:56:11:284,0.1307,0.2853,0.9883,1.068
22:56:11:285,0.1363,0.2807,0.9768,1.057
