time,gFx,gFy,gFz,0
17:18:24:989,-0.3281,0.6728,0.4796,0.937
17:18:24:990,-0.3291,0.6811,0.4735,0.940
17:18:24:991,-0.3303,0.6897,0.4674,0.944
17:18:24:992,-0.3315,0.6982,0.4628,0.949
17:18:24:993,-0.3335,0.7078,0.4603,0.956
17:18:24:994,-0.3352,0.7185,0.4598,0.965
17:18:24:995,-0.3354,0.7293,0.4601,0.974
17:18:24:996,-0.3349,0.7385,0.4601,0.981
17:18:24:997,-0.3342,0.7432,0.4603,0.984
17:18:24:997,-0.3327,0.7517,0.4608,0.991
17:18:24:998,-0.3305,0.7595,0.4596,0.996
17:18:24:999,-0.3279,0.7679,0.4584,1.001
17:18:25:000,-0.3254,0.7757,0.4586,1.007
17:18:25:001,-0.3232,0.7818,0.4591,1.012
17:18:25:012,-0.3210,0.7879,0.4591,1.016
17:18:25:013,-0.3191,0.7928,0.4576,1.019
17:18:25:014,-0.3171,0.7967,0.4559,1.021
17:18:25:015,-0.3144,0.7996,0.4554,1.022
17:18:25:016,-0.3125,0.8008,0.4542,1.022
17:18:25:017,-0.3105,0.8008,0.4532,1.021
17:18:25:018,-0.3083,0.8013,0.4528,1.020
17:18:25:019,-0.3061,0.8013,0.4510,1.019
17:18:25:020,-0.3054,0.7986,0.4488,1.015
17:18:25:026,-0.3046,0.7940,0.4466,1.010
17:18:25:027,-0.3049,0.7896,0.4437,1.005
17:18:25:028,-0.3056,0.7850,0.4401,1.000
17:18:25:028,-0.3076,0.7791,0.4369,0.994
17:18:25:029,-0.3095,0.7735,0.4339,0.989
17:18:25:030,-0.3108,0.7674,0.4315,0.983
17:18:25:037,-0.3122,0.7613,0.4291,0.977
17:18:25:038,-0.3125,0.7556,0.4259,0.971
17:18:25:039,-0.3122,0.7495,0.4229,0.965
17:18:25:039,-0.3120,0.7424,0.4207,0.958
17:18:25:040,-0.3110,0.7361,0.4181,0.951
17:18:25:048,-0.3103,0.7305,0.4168,0.946
17:18:25:049,-0.3098,0.7258,0.4166,0.941
17:18:25:050,-0.3095,0.7217,0.4166,0.938
17:18:25:051,-0.3090,0.7190,0.4173,0.936
17:18:25:052,-0.3095,0.7168,0.4178,0.934
17:18:25:053,-0.3105,0.7144,0.4186,0.933
17:18:25:054,-0.3117,0.7124,0.4195,0.932
17:18:25:056,-0.3134,0.7114,0.4212,0.933
17:18:25:057,-0.3174,0.7109,0.4227,0.935
17:18:25:062,-0.3227,0.7104,0.4239,0.937
17:18:25:063,-0.3288,0.7112,0.4247,0.940
17:18:25:064,-0.3340,0.7124,0.4256,0.943
17:18:25:066,-0.3389,0.7136,0.4278,0.947
17:18:25:077,-0.3413,0.7141,0.4293,0.949
17:18:25:078,-0.3459,0.7146,0.4308,0.952
17:18:25:080,-0.3501,0.7161,0.4325,0.955
17:18:25:081,-0.3540,0.7175,0.4347,0.959
17:18:25:082,-0.3579,0.7200,0.4371,0.963
17:18:25:084,-0.3618,0.7222,0.4413,0.968
17:18:25:085,-0.3655,0.7239,0.4464,0.974
17:18:25:086,-0.3682,0.7258,0.4510,0.978
17:18:25:087,-0.3704,0.7283,0.4547,0.983
17:18:25:088,-0.3716,0.7305,0.4596,0.987
17:18:25:089,-0.3721,0.7322,0.4642,0.991
17:18:25:090,-0.3735,0.7339,0.4684,0.995
17:18:25:095,-0.3760,0.7356,0.4733,1.000
17:18:25:096,-0.3782,0.7368,0.4791,1.005
17:18:25:097,-0.3797,0.7383,0.4843,1.009
17:18:25:098,-0.3806,0.7395,0.4892,1.013
17:18:25:110,-0.3819,0.7400,0.4950,1.016
17:18:25:112,-0.3840,0.7410,0.5009,1.021
17:18:25:112,-0.3870,0.7420,0.5067,1.026
17:18:25:113,-0.3904,0.7427,0.5129,1.031
17:18:25:114,-0.3946,0.7427,0.5192,1.036
17:18:25:115,-0.3992,0.7437,0.5256,1.041
17:18:25:116,-0.4046,0.7439,0.5314,1.047
17:18:25:118,-0.4097,0.7434,0.5378,1.052
17:18:25:119,-0.4134,0.7437,0.5422,1.056
17:18:25:120,-0.4180,0.7434,0.5449,1.059
17:18:25:121,-0.4217,0.7422,0.5471,1.060
17:18:25:121,-0.4239,0.7407,0.5480,1.061
17:18:25:124,-0.4244,0.7385,0.5493,1.060
17:18:25:126,-0.4241,0.7354,0.5497,1.058
17:18:25:127,-0.4231,0.7327,0.5490,1.055
17:18:25:129,-0.4212,0.7295,0.5475,1.051
17:18:25:131,-0.4192,0.7258,0.5468,1.047
17:18:25:134,-0.4165,0.7227,0.5451,1.043
17:18:25:136,-0.4134,0.7192,0.5434,1.038
17:18:25:137,-0.4109,0.7166,0.5422,1.035
17:18:25:139,-0.4085,0.7131,0.5405,1.030
17:18:25:141,-0.4060,0.7100,0.5378,1.025
17:18:25:143,-0.4041,0.7065,0.5348,1.020
17:18:25:145,-0.4031,0.7046,0.5334,1.018
17:18:25:147,-0.4012,0.7019,0.5304,1.013
17:18:25:151,-0.3994,0.6994,0.5282,1.010
17:18:25:152,-0.3980,0.6975,0.5253,1.006
17:18:25:153,-0.3963,0.6953,0.5236,1.003
17:18:25:155,-0.3953,0.6931,0.5234,1.001
17:18:25:157,-0.3941,0.6919,0.5234,0.999
17:18:25:159,-0.3931,0.6921,0.5231,0.999
17:18:25:161,-0.3936,0.6926,0.5231,1.000
17:18:25:163,-0.3955,0.6938,0.5229,1.001
17:18:25:165,-0.3965,0.6951,0.5229,1.002
17:18:25:168,-0.3968,0.6970,0.5234,1.004
17:18:25:170,-0.3972,0.6994,0.5238,1.006
17:18:25:171,-0.3985,0.7019,0.5243,1.009
17:18:25:173,-0.3994,0.7046,0.5251,1.012
17:18:25:175,-0.4002,0.7080,0.5260,1.015
17:18:25:177,-0.4012,0.7117,0.5258,1.018
17:18:25:179,-0.4021,0.7148,0.5248,1.020
17:18:25:181,-0.4014,0.7180,0.5238,1.022
17:18:25:184,-0.4002,0.7209,0.5219,1.023
17:18:25:185,-0.3992,0.7236,0.5199,1.023
17:18:25:187,-0.3977,0.7261,0.5177,1.023
17:18:25:189,-0.3963,0.7290,0.5155,1.024
17:18:25:191,-0.3943,0.7319,0.5131,1.024
17:18:25:193,-0.3904,0.7339,0.5109,1.023
17:18:25:195,-0.3862,0.7351,0.5085,1.021
17:18:25:197,-0.3831,0.7366,0.5048,1.019
17:18:25:199,-0.3804,0.7368,0.5023,1.017
17:18:25:215,-0.3772,0.7378,0.5001,1.015
17:18:25:217,-0.3743,0.7388,0.4992,1.015
17:18:25:218,-0.3713,0.7393,0.4987,1.014
17:18:25:219,-0.3689,0.7398,0.4975,1.013
17:18:25:220,-0.3669,0.7402,0.4965,1.012
17:18:25:221,-0.3643,0.7400,0.4960,1.010
17:18:25:222,-0.3628,0.7395,0.4958,1.009
17:18:25:222,-0.3601,0.7393,0.4958,1.008
17:18:25:223,-0.3579,0.7393,0.4955,1.007
17:18:25:224,-0.3564,0.7393,0.4943,1.006
17:18:25:225,-0.3550,0.7378,0.4923,1.003
17:18:25:226,-0.3533,0.7366,0.4911,1.001
17:18:25:227,-0.3518,0.7366,0.4894,1.000
17:18:25:228,-0.3508,0.7359,0.4870,0.998
17:18:25:229,-0.3511,0.7346,0.4835,0.995
17:18:25:232,-0.3518,0.7332,0.4806,0.993
17:18:25:249,-0.3513,0.7322,0.4782,0.991
17:18:25:251,-0.3516,0.7322,0.4762,0.990
17:18:25:252,-0.3530,0.7307,0.4743,0.988
17:18:25:253,-0.3550,0.7290,0.4728,0.987
17:18:25:254,-0.3564,0.7280,0.4716,0.986
17:18:25:255,-0.3589,0.7271,0.4713,0.986
17:18:25:256,-0.3611,0.7263,0.4721,0.986
17:18:25:257,-0.3621,0.7266,0.4725,0.987
17:18:25:258,-0.3623,0.7263,0.4735,0.988
17:18:25:259,-0.3618,0.7266,0.4747,0.988
17:18:25:260,-0.3621,0.7268,0.4752,0.989
17:18:25:261,-0.3618,0.7266,0.4760,0.989
17:18:25:262,-0.3604,0.7268,0.4769,0.989
17:18:25:263,-0.3589,0.7268,0.4777,0.989
17:18:25:264,-0.3574,0.7263,0.4791,0.989
17:18:25:265,-0.3562,0.7268,0.4816,0.990
17:18:25:266,-0.3555,0.7280,0.4838,0.992
17:18:25:267,-0.3547,0.7283,0.4850,0.992
17:18:25:271,-0.3538,0.7288,0.4852,0.992
17:18:25:273,-0.3528,0.7293,0.4857,0.993
17:18:25:274,-0.3525,0.7295,0.4865,0.993
17:18:25:275,-0.3530,0.7300,0.4870,0.994
17:18:25:277,-0.3530,0.7312,0.4879,0.995
17:18:25:279,-0.3528,0.7317,0.4884,0.996
17:18:25:281,-0.3538,0.7317,0.4887,0.996
17:18:25:283,-0.3552,0.7322,0.4894,0.998
17:18:25:286,-0.3569,0.7327,0.4901,0.999
17:18:25:288,-0.3579,0.7329,0.4906,1.000
17:18:25:289,-0.3589,0.7329,0.4906,1.000
17:18:25:291,-0.3599,0.7327,0.4904,1.000
17:18:25:293,-0.3613,0.7324,0.4901,1.000
17:18:25:295,-0.3628,0.7315,0.4894,1.000
17:18:25:297,-0.3635,0.7305,0.4894,0.999
17:18:25:299,-0.3650,0.7290,0.4894,0.999
17:18:25:313,-0.3660,0.7285,0.4896,0.999
17:18:25:314,-0.3662,0.7278,0.4896,0.998
17:18:25:316,-0.3672,0.7271,0.4899,0.998
17:18:25:317,-0.3687,0.7266,0.4906,0.999
17:18:25:317,-0.3696,0.7258,0.4916,0.999
17:18:25:318,-0.3706,0.7246,0.4923,0.999
17:18:25:320,-0.3733,0.7241,0.4940,1.000
17:18:25:321,-0.3755,0.7239,0.4962,1.002
17:18:25:322,-0.3775,0.7234,0.4982,1.003
17:18:25:322,-0.3787,0.7236,0.5006,1.005
17:18:25:323,-0.3799,0.7234,0.5036,1.007
17:18:25:324,-0.3809,0.7227,0.5065,1.008
17:18:25:335,-0.3816,0.7222,0.5077,1.009
17:18:25:336,-0.3819,0.7222,0.5085,1.009
17:18:25:337,-0.3811,0.7222,0.5094,1.010
17:18:25:338,-0.3801,0.7227,0.5109,1.010
17:18:25:339,-0.3797,0.7236,0.5111,1.011
17:18:25:340,-0.3789,0.7234,0.5104,1.010
17:18:25:341,-0.3787,0.7224,0.5102,1.009
17:18:25:342,-0.3784,0.7224,0.5102,1.009
17:18:25:343,-0.3787,0.7231,0.5102,1.010
17:18:25:344,-0.3787,0.7239,0.5111,1.011
17:18:25:346,-0.3794,0.7239,0.5116,1.012
