time,gFx,gFy,gFz,0
18:11:12:713,-0.2768,0.4483,0.5715,0.820
18:11:12:714,-0.2768,0.4498,0.5827,0.829
18:11:12:715,-0.2790,0.4517,0.6025,0.845
18:11:12:716,-0.2846,0.4542,0.6306,0.870
18:11:12:717,-0.2907,0.4551,0.6648,0.898
18:11:12:719,-0.2944,0.4556,0.7015,0.927
18:11:12:719,-0.2963,0.4559,0.7337,0.953
18:11:12:720,-0.2949,0.4569,0.7603,0.975
18:11:12:721,-0.2883,0.4569,0.7826,0.991
18:11:12:722,-0.2785,0.4547,0.8016,1.002
18:11:12:723,-0.2687,0.4512,0.8180,1.011
18:11:12:725,-0.2599,0.4463,0.8324,1.018
18:11:12:726,-0.2516,0.4366,0.8456,1.023
18:11:12:728,-0.2470,0.4207,0.8583,1.025
18:11:12:730,-0.2460,0.3994,0.8710,1.026
18:11:12:732,-0.2414,0.3772,0.8786,1.022
18:11:12:736,-0.2333,0.3550,0.8737,1.007
18:11:12:737,-0.2243,0.3313,0.8607,0.984
18:11:12:738,-0.2187,0.3193,0.8517,0.970
18:11:12:740,-0.2030,0.2978,0.8275,0.937
18:11:12:742,-0.1803,0.2807,0.8009,0.902
18:11:12:744,-0.1561,0.2665,0.7791,0.872
18:11:12:747,-0.1383,0.2529,0.7630,0.849
18:11:12:748,-0.1266,0.2402,0.7530,0.834
18:11:12:752,-0.1175,0.2299,0.7476,0.824
18:11:12:753,-0.1104,0.2243,0.7440,0.817
18:11:12:754,-0.1053,0.2223,0.7398,0.812
18:11:12:756,-0.1055,0.2243,0.7332,0.807
18:11:12:758,-0.1146,0.2343,0.7220,0.801
18:11:12:759,-0.1195,0.2472,0.7115,0.797
18:11:12:762,-0.1148,0.2573,0.7066,0.795
18:11:12:763,-0.1097,0.2678,0.7081,0.800
18:11:12:766,-0.1112,0.2790,0.7144,0.811
18:11:12:768,-0.1192,0.2907,0.7227,0.824
18:11:12:770,-0.1295,0.3029,0.7357,0.842
18:11:12:772,-0.1368,0.3154,0.7598,0.870
18:11:12:774,-0.1383,0.3296,0.7938,0.907
18:11:12:776,-0.1356,0.3428,0.8278,0.942
18:11:12:778,-0.1324,0.3545,0.8512,0.968
18:11:12:779,-0.1295,0.3657,0.8625,0.982
18:11:12:781,-0.1229,0.3696,0.8634,0.984
18:11:12:784,-0.1146,0.3633,0.8549,0.973
18:11:12:786,-0.1077,0.3567,0.8476,0.962
18:11:12:788,-0.1026,0.3503,0.8520,0.963
18:11:12:790,-0.1046,0.3433,0.8612,0.969
18:11:12:792,-0.1146,0.3330,0.8659,0.970
18:11:12:794,-0.1263,0.3196,0.8683,0.969
18:11:12:796,-0.1339,0.3034,0.8715,0.967
18:11:12:797,-0.1373,0.2866,0.8759,0.965
18:11:12:799,-0.1353,0.2704,0.8786,0.962
18:11:12:802,-0.1273,0.2563,0.8815,0.959
18:11:12:804,-0.1156,0.2411,0.8886,0.959
18:11:12:806,-0.1002,0.2267,0.8984,0.963
18:11:12:808,-0.0904,0.2209,0.9023,0.964
18:11:12:809,-0.0618,0.2103,0.9138,0.969
18:11:12:811,-0.0261,0.2001,0.9355,0.986
18:11:12:813,0.0037,0.1913,0.9502,0.998
18:11:12:815,0.0210,0.1874,0.9511,0.998
18:11:12:818,0.0313,0.1854,0.9409,0.988
18:11:12:819,0.0388,0.1835,0.9240,0.971
18:11:12:822,0.0432,0.1810,0.9045,0.952
18:11:12:824,0.0464,0.1769,0.8852,0.932
18:11:12:826,0.0542,0.1710,0.8681,0.915
18:11:12:827,0.0665,0.1649,0.8534,0.900
18:11:12:829,0.0787,0.1590,0.8402,0.887
18:11:12:831,0.0914,0.1522,0.8317,0.878
18:11:12:835,0.1068,0.1422,0.8353,0.881
18:11:12:836,0.1197,0.1300,0.8541,0.898
18:11:12:838,0.1290,0.1153,0.8827,0.925
18:11:12:840,0.1358,0.0999,0.9135,0.953
18:11:12:842,0.1419,0.0870,0.9357,0.974
18:11:12:844,0.1432,0.0794,0.9448,0.982
18:11:12:846,0.1419,0.0772,0.9448,0.981
18:11:12:847,0.1385,0.0770,0.9379,0.974
18:11:12:850,0.1366,0.0762,0.9250,0.961
18:11:12:852,0.1410,0.0738,0.9128,0.949
18:11:12:855,0.1502,0.0684,0.9052,0.943
18:11:12:856,0.1595,0.0625,0.9006,0.939
18:11:12:858,0.1627,0.0559,0.8947,0.933
18:11:12:859,0.1647,0.0493,0.8798,0.918
18:11:12:861,0.1686,0.0428,0.8544,0.893
18:11:12:863,0.1722,0.0384,0.8207,0.861
18:11:12:865,0.1766,0.0359,0.7833,0.825
18:11:12:869,0.1827,0.0342,0.7435,0.787
18:11:12:870,0.1891,0.0318,0.7007,0.747
18:11:12:874,0.1942,0.0293,0.6555,0.705
18:11:12:875,0.1979,0.0269,0.6116,0.664
18:11:12:876,0.1986,0.0257,0.5905,0.644
18:11:12:879,0.1969,0.0252,0.5519,0.607
18:11:12:880,0.1913,0.0291,0.5197,0.576
18:11:12:882,0.1854,0.0371,0.4933,0.550
18:11:12:885,0.1815,0.0489,0.4743,0.533
18:11:12:886,0.1788,0.0643,0.4625,0.525
18:11:12:888,0.1798,0.0816,0.4562,0.523
18:11:12:890,0.1871,0.0982,0.4550,0.529
18:11:12:892,0.1945,0.1146,0.4589,0.540
18:11:12:893,0.1935,0.1324,0.4669,0.552
18:11:12:895,0.1876,0.1551,0.4796,0.569
18:11:12:898,0.1847,0.1827,0.4970,0.594
18:11:12:899,0.1867,0.2150,0.5155,0.624
18:11:12:903,0.1893,0.2482,0.5329,0.654
18:11:12:905,0.1893,0.2783,0.5488,0.681
18:11:12:906,0.1867,0.3054,0.5646,0.707
18:11:12:908,0.1801,0.3305,0.5832,0.733
18:11:12:910,0.1688,0.3533,0.6054,0.761
18:11:12:912,0.1537,0.3728,0.6321,0.790
18:11:12:914,0.1358,0.3889,0.6631,0.821
18:11:12:915,0.1173,0.4029,0.7002,0.857
18:11:12:918,0.0965,0.4168,0.7415,0.896
18:11:12:920,0.0735,0.4324,0.7872,0.941
18:11:12:922,0.0535,0.4493,0.8380,0.992
18:11:12:924,0.0396,0.4691,0.8920,1.048
18:11:12:926,0.0320,0.4898,0.9458,1.105
18:11:12:928,0.0303,0.5128,0.9961,1.160
18:11:12:930,0.0293,0.5353,1.0393,1.209
18:11:12:931,0.0261,0.5551,1.0735,1.248
18:11:12:936,0.0203,0.5724,1.0972,1.277
18:11:12:937,0.0159,0.5868,1.1109,1.296
18:11:12:938,0.0134,0.5973,1.1175,1.307
18:11:12:940,0.0100,0.6042,1.1197,1.312
18:11:12:942,0.0046,0.6064,1.1192,1.313
18:11:12:944,-0.0020,0.6047,1.1163,1.309
18:11:12:946,-0.0078,0.5998,1.1053,1.297
18:11:12:948,-0.0076,0.5905,1.0726,1.264
18:11:12:950,0.0020,0.5775,1.0107,1.205
18:11:12:968,0.0105,0.5717,0.9665,1.164
18:11:12:970,0.0349,0.5617,0.8522,1.064
18:11:12:971,0.0618,0.5529,0.7271,0.960
18:11:12:972,0.0855,0.5438,0.5984,0.859
18:11:12:973,0.0972,0.5385,0.4620,0.765
18:11:12:974,0.0882,0.5358,0.3416,0.692
