time,gFx,gFy,gFz,0
18:14:24:702,0.2897,0.1947,0.8886,0.982
18:14:24:705,0.2851,0.1962,0.8798,0.973
18:14:24:707,0.2802,0.1979,0.8698,0.963
18:14:24:710,0.2758,0.1984,0.8615,0.954
18:14:24:712,0.2729,0.1981,0.8563,0.948
18:14:24:714,0.2702,0.1972,0.8529,0.944
18:14:24:717,0.2682,0.1962,0.8500,0.941
18:14:24:719,0.2682,0.1950,0.8485,0.939
18:14:24:722,0.2697,0.1937,0.8493,0.940
18:14:24:724,0.2722,0.1920,0.8522,0.943
18:14:24:727,0.2748,0.1898,0.8588,0.949
18:14:24:729,0.2783,0.1869,0.8673,0.957
18:14:24:732,0.2819,0.1840,0.8771,0.967
18:14:24:734,0.2853,0.1827,0.8891,0.978
18:14:24:737,0.2888,0.1815,0.9030,0.992
18:14:24:739,0.2915,0.1810,0.9182,1.007
18:14:24:742,0.2932,0.1810,0.9338,1.022
18:14:24:744,0.2939,0.1810,0.9482,1.036
18:14:24:745,0.2937,0.1810,0.9624,1.049
18:14:24:746,0.2924,0.1815,0.9758,1.061
18:14:24:747,0.2900,0.1827,0.9890,1.073
18:14:24:747,0.2878,0.1835,1.0012,1.084
18:14:24:748,0.2858,0.1837,1.0115,1.093
18:14:24:748,0.2832,0.1835,1.0200,1.101
18:14:24:749,0.2810,0.1840,1.0279,1.107
18:14:24:749,0.2780,0.1845,1.0342,1.113
18:14:24:750,0.2744,0.1852,1.0393,1.117
18:14:24:750,0.2709,0.1864,1.0423,1.119
18:14:24:750,0.2726,0.1847,1.0374,1.115
18:14:24:751,0.2900,0.1720,1.0088,1.089
18:14:24:751,0.3100,0.1593,0.9787,1.064
18:14:24:752,0.3142,0.1571,0.9717,1.058
18:14:24:752,0.3137,0.1590,0.9665,1.054
18:14:24:755,0.3051,0.1666,0.9670,1.053
18:14:24:755,0.2951,0.1764,0.9690,1.054
18:14:24:758,0.2875,0.1852,0.9707,1.056
18:14:24:759,0.2827,0.1945,0.9712,1.057
18:14:24:762,0.2792,0.2033,0.9700,1.057
18:14:24:763,0.2758,0.2111,0.9665,1.055
18:14:24:767,0.2719,0.2182,0.9604,1.050
18:14:24:768,0.2682,0.2233,0.9502,1.041
18:14:24:770,0.2653,0.2265,0.9367,1.028
18:14:24:772,0.2626,0.2282,0.9218,1.014
18:14:24:774,0.2577,0.2316,0.9047,0.998
18:14:24:776,0.2375,0.2472,0.8796,0.974
18:14:24:778,0.1998,0.2722,0.8510,0.948
18:14:24:780,0.1801,0.2770,0.8434,0.938
18:14:24:784,0.1825,0.2690,0.8432,0.936
18:14:24:785,0.1918,0.2590,0.8400,0.931
18:14:24:786,0.2008,0.2477,0.8351,0.925
18:14:24:788,0.2099,0.2336,0.8297,0.918
18:14:24:790,0.2179,0.2184,0.8246,0.910
18:14:24:791,0.2235,0.2064,0.8202,0.904
18:14:24:794,0.2260,0.1974,0.8182,0.900
18:14:24:796,0.2257,0.1915,0.8187,0.899
18:14:24:798,0.2240,0.1876,0.8226,0.901
18:14:24:802,0.2213,0.1845,0.8309,0.908
18:14:24:803,0.2184,0.1823,0.8432,0.918
18:14:24:804,0.2143,0.1818,0.8554,0.928
18:14:24:806,0.2099,0.1820,0.8691,0.940
